Zeit [h]	Tf [C]	Heizleistung [W]	Massenstrom [kg/s]
0	15.35	5416	0.372222222
0.016666667	15.35	5425	0.37
0.033333333	15.4	5284	0.369722222
0.05	15.4	5230	0.362777778
0.066666667	15.4	5315	0.368611111
0.083333333	15.35	5300	0.366388889
0.1	15.4	5285	0.3675
0.116666667	15.45	5314	0.365277778
0.133333333	15.4	5237	0.367222222
0.15	15.45	5362	0.370833333
0.166666667	15.5	5229	0.3625
0.183333333	15.65	5300	0.365277778
0.2	15.8	5349	0.370277778
0.216666667	15.9	5364	0.368888889
0.233333333	15.95	5396	0.368888889
0.25	16	5366	0.37
0.266666667	16.15	5315	0.367222222
0.283333333	16.15	5311	0.37
0.3	16.15	5414	0.367777778
0.316666667	16.25	5252	0.364722222
0.333333333	16.3	5419	0.366944444
0.35	16.25	5457	0.3725
0.366666667	16.4	5264	0.370833333
0.383333333	16.4	5394	0.368888889
0.4	16.45	5442	0.37
0.416666667	16.5	5285	0.3675
0.433333333	16.5	5319	0.368888889
0.45	16.6	5215	0.366666667
0.466666667	16.6	5393	0.370555556
0.483333333	16.65	5390	0.368333333
0.5	16.7	5306	0.370555556
0.516666667	16.75	5289	0.365277778
0.533333333	16.75	5271	0.368888889
0.55	16.85	5386	0.3675
0.566666667	16.85	5370	0.369166667
0.583333333	16.8	5312	0.364444444
0.6	16.9	5195	0.365277778
0.616666667	16.95	5367	0.368888889
0.633333333	16.95	5351	0.365555556
0.65	17	5330	0.366111111
0.666666667	17.05	5359	0.367777778
0.683333333	17.05	5331	0.364722222
0.7	17	5270	0.366666667
0.716666667	17.05	5240	0.364722222
0.733333333	17.1	5277	0.368055556
0.75	17.2	5291	0.367777778
0.766666667	17.25	5299	0.367222222
0.783333333	17.15	5422	0.367222222
0.8	17.25	5327	0.364722222
0.816666667	17.25	5410	0.367222222
0.833333333	17.3	5215	0.365
0.85	17.3	5346	0.368888889
0.866666667	17.3	5440	0.366944444
0.883333333	17.35	5345	0.363333333
0.9	17.35	5323	0.362777778
0.916666667	17.35	5284	0.366388889
0.933333333	17.4	5333	0.366388889
0.95	17.5	5234	0.365555556
0.966666667	17.45	5305	0.366111111
0.983333333	17.45	5219	0.365277778
1	17.55	5339	0.366388889
1.016666667	17.45	5371	0.367222222
1.033333333	17.55	5354	0.364722222
1.05	17.55	5319	0.364444444
1.066666667	17.55	5459	0.366666667
1.083333333	17.5	5259	0.366388889
1.1	17.55	5290	0.367222222
1.116666667	17.7	5335	0.368055556
1.133333333	17.65	5143	0.368611111
1.15	17.65	5295	0.365
1.166666667	17.65	5293	0.368055556
1.183333333	17.6	5353	0.365555556
1.2	17.7	5269	0.367222222
1.216666667	17.7	5327	0.366666667
1.233333333	17.8	5204	0.363333333
1.25	17.75	5377	0.364722222
1.266666667	17.75	5270	0.365555556
1.283333333	17.75	5322	0.364722222
1.3	17.75	5319	0.365833333
1.316666667	17.85	5195	0.365277778
1.333333333	17.8	5280	0.367777778
1.35	17.8	5194	0.365833333
1.366666667	17.85	5399	0.369444444
1.383333333	17.85	5291	0.365
1.4	17.9	5314	0.365555556
1.416666667	17.95	5274	0.361666667
1.433333333	17.9	5334	0.368611111
1.45	17.95	5200	0.365555556
1.466666667	17.95	5419	0.365833333
1.483333333	17.95	5340	0.365833333
1.5	18	5267	0.363611111
1.516666667	17.95	5165	0.363611111
1.533333333	17.95	5340	0.365277778
1.55	18	5269	0.364444444
1.566666667	18	5176	0.363055556
1.583333333	18.05	5281	0.366944444
1.6	18.1	5185	0.363055556
1.616666667	18.1	5259	0.366111111
1.633333333	18.05	5304	0.364166667
1.65	18.1	5257	0.363888889
1.666666667	18.05	5322	0.365
1.683333333	18.15	5281	0.364166667
1.7	18.05	5277	0.363888889
1.716666667	18.15	5288	0.365277778
1.733333333	18.2	5382	0.366666667
1.75	18.15	5273	0.364166667
1.766666667	18.15	5345	0.365
1.783333333	18.15	5292	0.362222222
1.8	18.25	5336	0.369166667
1.816666667	18.15	5313	0.3675
1.833333333	18.15	5412	0.365833333
1.85	18.2	5274	0.364722222
1.866666667	18.25	5359	0.366111111
1.883333333	18.3	5208	0.366111111
1.9	18.25	5322	0.366666667
1.916666667	18.25	5373	0.3625
1.933333333	18.35	5299	0.364722222
1.95	18.3	5262	0.367222222
1.966666667	18.3	5137	0.363611111
1.983333333	18.3	5268	0.365277778
2	18.35	5244	0.364722222
2.016666667	18.3	5294	0.363888889
2.033333333	18.35	5379	0.366388889
2.05	18.3	5138	0.364444444
2.066666667	18.35	5154	0.364166667
2.083333333	18.4	5228	0.366111111
2.1	18.3	5197	0.364166667
2.116666667	18.4	5232	0.367222222
2.133333333	18.35	5272	0.364722222
2.15	18.4	5249	0.366111111
2.166666667	18.5	5186	0.363888889
2.183333333	18.4	5284	0.368333333
2.2	18.45	5356	0.366944444
2.216666667	18.45	5370	0.365833333
2.233333333	18.45	5378	0.368333333
2.25	18.55	5288	0.368333333
2.266666667	18.45	5292	0.364166667
2.283333333	18.45	5383	0.367222222
2.3	18.5	5257	0.364722222
2.316666667	18.45	5114	0.365277778
2.333333333	18.5	5222	0.363055556
2.35	18.55	5352	0.368888889
2.366666667	18.55	5269	0.365277778
2.383333333	18.6	5251	0.366944444
2.4	18.55	5379	0.3675
2.416666667	18.6	5426	0.366388889
2.433333333	18.55	5334	0.365277778
2.45	18.55	5323	0.366666667
2.466666667	18.65	5440	0.366944444
2.483333333	18.65	5305	0.367222222
2.5	18.55	5351	0.367222222
2.516666667	18.65	5342	0.363333333
2.533333333	18.6	5307	0.365833333
