Koordinatensystem : Lambert konform konisch
Rechtswert        : 4253500 Meter
Hochwert          : 2702500 Meter
Hoehenlage        : 122 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4253500 2702500  1  1  1   0.0 1010 124  0.9 6  3.5  90    0    0 290 -313  2
4253500 2702500  1  1  2   0.1 1010 130  0.7 6  3.5  90    0    0 286 -314  2
4253500 2702500  1  1  3   0.3 1010 124  0.6 5  3.5  89    0    0 270 -314  2
4253500 2702500  1  1  4   0.4 1010 133  0.4 5  3.5  89    0    0 254 -314  2
4253500 2702500  1  1  5   0.5 1010 145  0.4 5  3.5  88    0    0 266 -314  2
4253500 2702500  1  1  6   0.8 1010 184  0.1 7  3.5  88    0    0 292 -314  2
4253500 2702500  1  1  7   0.9 1011 181  0.9 6  3.6  89    0    0 292 -314  2
4253500 2702500  1  1  8   0.8 1010 191  1.1 8  3.6  88    0    0 298 -314  2
4253500 2702500  1  1  9   1.2 1010 184  1.1 8  3.5  87    0    9 312 -315  2
4253500 2702500  1  1 10   1.2 1010 178  1.2 7  3.5  86    2   39 306 -317  2
4253500 2702500  1  1 11   1.1 1010 186  0.4 7  3.5  86    0   51 300 -320  2
4253500 2702500  1  1 12   1.8 1010 180  1.1 7  3.6  86    0   51 302 -321  2
4253500 2702500  1  1 13   2.1 1009 216  0.1 8  3.7  84    0   45 310 -321  2
4253500 2702500  1  1 14   2.5 1009 199  0.8 7  3.7  83    0   58 311 -321  2
4253500 2702500  1  1 15   2.4 1008 199  1.5 8  3.8  83    0   35 312 -323  2
4253500 2702500  1  1 16   2.2 1008 235  1.1 8  3.8  85    0    9 320 -325  2
4253500 2702500  1  1 17   2.4 1007 220  0.5 8  4.0  89    0    0 321 -325  2
4253500 2702500  1  1 18   2.2 1007 242  0.1 7  4.1  91    0    0 316 -325  2
4253500 2702500  1  1 19   2.0 1007 237  0.1 8  4.1  93    0    0 314 -325  2
4253500 2702500  1  1 20   2.0 1007 241  0.0 8  4.2  95    0    0 320 -326  2
4253500 2702500  1  1 21   2.7 1007 245  0.1 7  4.3  95    0    0 314 -328  2
4253500 2702500  1  1 22   2.8 1008 259  0.3 7  4.3  93    0    0 308 -330  2
4253500 2702500  1  1 23   2.9 1008 269  0.3 7  4.4  94    0    0 308 -331  2
4253500 2702500  1  1 24   3.2 1008 297  0.1 8  4.5  94    0    0 315 -330  2
4253500 2702500  1  2  1   3.4 1009 296  0.2 8  4.5  94    0    0 320 -327  2
4253500 2702500  1  2  2   3.4 1009 319  1.4 8  4.7  96    0    0 320 -325  2
4253500 2702500  1  2  3   3.6 1009 319  1.1 8  4.8  98    0    0 320 -325  2
4253500 2702500  1  2  4   3.9 1010 311  1.8 8  4.8  96    0    0 318 -324  2
4253500 2702500  1  2  5   3.6 1011 305  2.2 8  4.8  96    0    0 318 -323  2
4253500 2702500  1  2  6   3.6 1011 289  1.2 8  4.7  96    0    0 317 -323  2
4253500 2702500  1  2  7   3.5 1012 296  1.9 8  4.6  94    0    0 315 -322  2
4253500 2702500  1  2  8   3.3 1012 300  1.1 8  4.5  92    0    0 314 -321  2
4253500 2702500  1  2  9   3.2 1013 285  1.0 8  4.4  92    0    7 313 -321  2
4253500 2702500  1  2 10   3.3 1014 281  1.2 8  4.4  92    3   38 313 -321  2
4253500 2702500  1  2 11   3.5 1014 273  1.6 8  4.4  91    0   27 313 -321  2
4253500 2702500  1  2 12   3.7 1014 272  1.9 7  4.3  88    1   78 306 -323  2
4253500 2702500  1  2 13   4.6 1014 262  2.5 5  4.3  84   46  128 288 -325  2
4253500 2702500  1  2 14   4.8 1014 258  2.8 4  4.3  81   47  117 272 -326  2
4253500 2702500  1  2 15   4.8 1014 259  3.8 5  4.4  82   15   77 274 -326  2
4253500 2702500  1  2 16   4.6 1014 248  2.2 5  4.3  81    0   25 282 -326  2
4253500 2702500  1  2 17   3.7 1014 229  0.9 4  4.2  83    0    0 276 -323  2
4253500 2702500  1  2 18   3.1 1014 273  0.9 4  4.2  86    0    0 268 -318  2
4253500 2702500  1  2 19   3.2 1014 269  1.2 4  4.1  86    0    0 267 -314  2
4253500 2702500  1  2 20   3.1 1014 251  1.3 6  4.1  86    0    0 278 -314  2
4253500 2702500  1  2 21   2.9 1014 253  2.4 7  4.1  86    0    0 294 -313  2
4253500 2702500  1  2 22   2.9 1014 283  1.6 6  4.0  86    0    0 295 -311  2
4253500 2702500  1  2 23   2.7 1014 284  0.8 6  3.9  85    0    0 289 -310  2
4253500 2702500  1  2 24   3.0 1014 285  1.4 6  3.9  83    0    0 289 -309  2
4253500 2702500  1  3  1   3.4 1014 287  1.2 6  3.9  81    0    0 290 -308  2
4253500 2702500  1  3  2   3.3 1013 274  1.8 6  3.9  80    0    0 291 -307  2
4253500 2702500  1  3  3   3.6 1013 271  1.9 7  3.9  80    0    0 296 -307  2
4253500 2702500  1  3  4   3.5 1013 243  2.1 7  3.9  81    0    0 300 -308  2
4253500 2702500  1  3  5   3.5 1013 245  1.4 7  4.0  81    0    0 300 -309  2
4253500 2702500  1  3  6   3.6 1013 255  3.1 7  4.1  83    0    0 301 -308  2
4253500 2702500  1  3  7   3.9 1012 219  3.3 7  4.1  83    0    0 301 -305  2
4253500 2702500  1  3  8   3.8 1012 108  4.0 8  4.1  82    0    0 306 -302  2
4253500 2702500  1  3  9   4.0 1012 112  3.3 7  4.1  82    3   13 304 -300  2
4253500 2702500  1  3 10   4.5 1012 122  3.4 6  4.1  80   23   64 292 -301  2
